Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
YOTAU,Yotta Acquisition Corporation - Unit,Units,4/20/2022,NASDAQ Global Market,"$102,928,730 ",N,9.95,"10,313,500",9/17/2022,1.495%
GBRG,Goldenbridge Acquisition Limited,Common stocks,4/16/2021,NASDAQ Capital Market,"$76,419,125 ",N,10.1,"7,566,250",9/13/2021,1.437%
HNRA,HNR Acquisition Corp,Common stocks,2/10/2022,NYSE American,"$116,079,875 ",N,9.98,"11,631,250",7/10/2022,1.387%
CLAQ,CleanTech Acquisition Corp.,Common stocks,8/3/2021,NASDAQ Capital Market,"$216,703,125 ",Y,10.05,"21,562,500",12/31/2021,1.289%
DTRT,DTRT Health Acquisition Corp. Class A,Common stocks,10/25/2021,NASDAQ Capital Market,"$230,690,000 ",N,10.02,"23,000,000",3/24/2022,1.283%
CFFE,CF Acquisition Corp. VIII Class A,Common stocks,5/3/2021,NASDAQ Capital Market,"$228,186,935 ",N,10.08,"22,660,073",9/30/2021,1.237%
MOTV,Motive Capital Corp Class A,Common stocks,2/1/2021,New York Stock Exchange,"$363,960,000 ",N,10.11,"36,000,000",7/1/2021,1.216%
CNGL,Canna-Global Acquisition Corp. Class A,Common stocks,1/20/2022,NASDAQ Global Market,"$210,878,009 ",N,9.99,"21,130,061",6/19/2022,1.162%
CPAQ,Counter Press Acquisition Corporation - Class A,Common stocks,4/1/2022,NASDAQ Global Market,"$91,264,894 ",N,9.97,"9,135,625",8/29/2022,1.062%
GEEX,Games & Esports Experience Acquisition Corp. - Class A,Common stocks,1/24/2022,NASDAQ Global Market,"$199,800,000 ",N,9.99,"20,000,000",6/23/2022,1.030%
FTII,FutureTech II Acquisition Corp. - Class A,Common stocks,4/8/2022,NASDAQ Global Market,"$120,986,698 ",N,9.97,"12,135,075",9/5/2022,0.994%
TACA,Trepont Acquisition Corp I Class A,Common stocks,1/22/2021,New York Stock Exchange,"$201,800,000 ",N,10.09,"20,000,000",6/21/2021,0.967%
DSAQ,Direct Selling Acquisition Corp.,Common stocks,11/12/2021,New York Stock Exchange,"$230,230,000 ",N,10.01,"23,000,000",4/11/2022,0.946%
CENQ,CENAQ Energy Corp. Class A,Common stocks,10/4/2021,NASDAQ Capital Market,"$174,746,295 ",N,10.02,"17,439,750",3/3/2022,0.933%
MLAC,Malacca Straits Acquisition Company Limited - Class A,Common stocks,8/6/2020,NASDAQ Capital Market,"$47,667,232 ",Y,10.13,"4,705,551",1/3/2021,0.922%
FGMC,FG Merger Corp.,Common stocks,4/18/2022,NASDAQ Global Market,"$100,967,019 ",N,9.97,"10,157,750",9/15/2022,0.910%
CHPM,CHP Merger Corp. - Class A,Common stocks,1/10/2020,NASDAQ Capital Market,$0 ,N,10.18,"18,611,003",6/8/2020,0.897%
KINZ,KINS Technology Group Inc. - Class A,Common stocks,2/4/2021,NASDAQ Capital Market,"$277,932,000 ",N,10.08,"27,600,000",7/4/2021,0.896%
NOVV,Nova Vision Acquisition Corp.,Common stocks,9/30/2021,NASDAQ Capital Market,"$75,330,360 ",N,10.02,"7,518,000",2/27/2022,0.887%
OXAC,Oxbridge Acquisition Corp. Class A,Common stocks,9/30/2021,NASDAQ Capital Market,"$116,150,000 ",N,10.02,"11,615,000",2/27/2022,0.887%
MEKA,MELI Kaszek Pioneer Corp,Common stocks,9/29/2021,NASDAQ Global Market,"$298,736,250 ",N,10.02,"29,725,000",2/26/2022,0.876%
HMA,Heartland Media Acquisition Corp. Class A,Common stocks,3/13/2022,New York Stock Exchange,"$192,084,371 ",N,9.98,"19,246,931",8/10/2022,0.869%
FOXW,FoxWayne Enterprises Acquisition Corp. - Class A,Common stocks,2/25/2021,NASDAQ Capital Market,"$57,902,500 ",N,10.07,"5,750,000",7/25/2021,0.840%
MACU,Mallard Acquisition Corp.,Common stocks,11/27/2020,NASDAQ Capital Market,$0 ,N,10.09,"13,750,000",4/26/2021,0.828%
GACQ,Global Consumer Acquisition Corp.,Common stocks,7/30/2021,NASDAQ Capital Market,"$233,289,267 ",Y,10.03,"23,282,362",12/27/2021,0.753%
EDTX,EdtechX Holdings Acquisition Corp. II - Class A,Common stocks,12/24/2019,NASDAQ Capital Market,"$116,380,000 ",N,10.13,"11,500,000",5/22/2020,0.635%
LNFA,L&F Acquisition Corp. Class A,Common stocks,1/7/2021,New York Stock Exchange,"$173,535,000 ",Y,10.06,"17,250,000",6/6/2021,0.619%
SHUA,SHUAA Partners Acquisition Corp I - Class A,Common stocks,4/22/2022,NASDAQ Global Market,"$108,324,050 ",N,9.98,"10,865,000",9/19/2022,0.587%
VMCA,Valuence Merger Corp. I - Class A,Common stocks,4/22/2022,NASDAQ Global Market,"$219,677,039 ",N,9.98,"22,009,963",9/19/2022,0.587%
NUBI,Nubia Brand International Corp. - Class A,Common stocks,5/1/2022,NASDAQ Global Market,"$123,500,000 ",N,9.98,"12,350,000",9/28/2022,0.547%
OCAX,OCA Acquisition Corp. - Class A,Common stocks,3/8/2021,NASDAQ Capital Market,"$149,948,500 ",N,10.04,"14,950,000",8/5/2021,0.500%
BHSE,Bull Horn Holdings Corp.,Common stocks,12/17/2020,NASDAQ Capital Market,"$93,937,500 ",N,10.04,"9,375,000",5/16/2021,0.390%
MURF,Murphy Canyon Acquisition Corp. - Class A,Common stocks,3/28/2022,NASDAQ Global Market,"$139,650,210 ",N,9.99,"13,979,000",8/25/2022,0.368%
UPTD,TradeUP Acquisition Corp.,Common stocks,9/7/2021,NASDAQ Capital Market,"$58,555,497 ",N,10.01,"5,849,700",2/4/2022,0.346%
BTAQ,Burgundy Technology Acquisition Corporation - Class A,Common stocks,10/8/2020,NASDAQ Capital Market,$0 ,N,10.04,"35,562,500",3/7/2021,0.327%
CAS,Cascade Acquisition Corp. Class A,Common stocks,1/15/2021,New York Stock Exchange,"$200,600,000 ",N,10.03,"20,000,000",6/14/2021,0.318%
BCAC,Brookline Capital Acquisition Corp.,Common stocks,7/18/2017,NASDAQ Capital Market,"$75,199,968 ",Y,10.13,"7,434,500",12/15/2017,0.286%
FST,FAST Acquisition Corp. Class A,Common stocks,10/12/2020,New York Stock Exchange,"$201,500,000 ",N,10.03,"20,000,000",3/11/2021,0.248%
GIW,"GigInternational1, Inc.",Common stocks,7/9/2021,NASDAQ Capital Market,"$271,110,840 ",N,10.01,"27,084,000",12/6/2021,0.219%
MUDS,Mudrick Capital Acquisition Corporation II - Class A,Common stocks,3/12/2018,NASDAQ Capital Market,"$317,831,250 ",N,10.05,"31,625,000",8/9/2018,0.130%
RICO,Agrico Acquisition Corp. - Class A,Common stocks,12/28/2007,NASDAQ Capital Market,"$147,655,688 ",N,10.17,"14,518,750",5/26/2008,0.118%
ARTA,Artisan Acquisition Corp. Class A,Common stocks,10/13/2014,NASDAQ Capital Market,"$341,039,062 ",Y,10.05,"33,934,235",3/12/2015,0.068%
MCAA,Mountain & Co. I Acquisition Corp. Class A,Common stocks,1/17/2002,NASDAQ Global Market,"$232,530,000 ",N,10.13,"23,000,000",6/16/2002,0.063%
RAM,Aries I Acquisition Corporation - Class A,Common stocks,1/4/2000,NASDAQ Capital Market,"$145,043,750 ",Y,10.09,"14,375,000",6/2/2000,0.040%
ARCK,Arbor Rapha Capital Bioholdings Corp. I Class A,Common stocks,1/28/2011,NASDAQ Global Market,"$173,017,500 ",N,10.03,"17,250,000",6/27/2011,0.027%
APCA,AP Acquisition Corp Class A,Common stocks,4/24/2018,New York Stock Exchange,"$128,480,532 ",N,10.01,"12,835,218",9/21/2018,0.027%
PCX,Parsec Capital Acquisitions Corp Class A,Common stocks,12/28/2007,NASDAQ Global Market,"$86,508,750 ",N,10.02,"8,625,000",5/26/2008,0.014%
AXH,"Industrial Human Capital, Inc.",Common stocks,5/26/2005,New York Stock Exchange,"$143,893,750 ",N,10.01,"14,375,000",10/23/2005,0.006%
RENEU,Cartesian Growth Corporation II - Unit,Units,5/6/2022,NASDAQ Global Market,"$199,200,000 ",N,10,"20,000,000",10/3/2022,0.000%
PWUP,PowerUp Acquisition Corp. - Class A,Common stocks,4/10/2022,NASDAQ Global Market,"$286,350,000 ",N,10,"28,750,000",9/7/2022,0.000%
MSSAU,"Metal Sky Star Acquisition Corp - Units (1 Ord, 1 Rts & 1 War)",Units,4/1/2022,NASDAQ Global Market,"$103,000,000 ",N,10,"10,300,000",8/29/2022,0.000%
HORI,Emerging Markets Horizon Corp. Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$283,187,500 ",N,10,"28,750,000",6/30/2022,0.000%
FEXD,Fintech Ecosystem Development Corp. Class A,Common stocks,1/11/2022,NASDAQ Global Market,"$115,228,275 ",N,10,"11,557,500",6/10/2022,0.000%
IFIN,InFinT Acquisition Corporation Class A,Common stocks,1/10/2022,New York Stock Exchange,"$200,002,800 ",N,10,"19,999,880",6/9/2022,0.000%
RNER,Mount Rainier Acquisition Corp.,Common stocks,1/3/2022,NASDAQ Global Market,"$222,668,345 ",Y,10,"22,158,700",6/2/2022,0.000%
DHAC,Digital Health Acquisition Corp.,Common stocks,12/30/2021,NASDAQ Global Market,"$149,917,280 ",N,10,"14,932,000",5/29/2022,0.000%
VSAC,Vision Sensing Acquisition Corp. Class A,Common stocks,12/23/2021,NASDAQ Global Market,"$105,927,000 ",N,10,"10,592,700",5/22/2022,0.000%
PHYT,Pyrophyte Acquisition Corp. Class A,Common stocks,12/17/2021,New York Stock Exchange,"$201,250,000 ",N,10,"20,125,000",5/16/2022,0.000%
ESAC,ESGEN Acquisition Corporation Class A,Common stocks,12/13/2021,NASDAQ Global Market,"$276,552,000 ",N,10,"27,600,000",5/12/2022,0.000%
ICNC,Iconic Sports Acquisition Corp. Class A,Common stocks,12/13/2021,New York Stock Exchange,"$345,000,000 ",N,10,"34,500,000",5/12/2022,0.000%
NCAC,Newcourt Acquisition Corp Class A,Common stocks,12/10/2021,NASDAQ Global Market,"$261,400,000 ",N,10,"26,140,000",5/9/2022,0.000%
PBAX,Phoenix Biotech Acquisition Corp.,Common stocks,11/26/2021,NASDAQ Global Market,"$184,050,397 ",N,10,"18,385,000",4/25/2022,0.000%
ARTE,Artemis Strategic Investment Corporation Class A,Common stocks,11/22/2021,NASDAQ Global Market,"$201,250,000 ",N,10,"20,125,000",4/21/2022,0.000%
SWAG,Software Acquisition Group Inc. III Class A,Common stocks,9/20/2021,NASDAQ Capital Market,"$228,078,680 ",N,10,"22,807,868",2/17/2022,0.000%
SV,Spring Valley Acquisition Corp. - Class A,Common stocks,12/8/2020,NASDAQ Capital Market,"$226,550,000 ",Y,10,"23,000,000",5/7/2021,0.000%
IPOF,Social Capital Hedosophia Holdings Corp. VI Class A,Common stocks,11/30/2020,New York Stock Exchange,"$1,150,000,000 ",N,10,"115,000,000",4/29/2021,0.000%
PPHP,PHP Ventures Acquisition Corp. Class A,Common stocks,6/24/2016,NASDAQ Capital Market,"$57,615,000 ",N,10,"5,750,000",11/21/2016,0.000%
TETE,Technology & Telecommunication Acquisition Corporation - Class A,Common stocks,2/1/2001,NASDAQ Global Market,"$120,084,350 ",N,9.98,"12,032,500",7/1/2001,-0.009%
SVFC,SVF Investment Corp. 3 - Class A,Common stocks,8/28/2001,NASDAQ Capital Market,"$328,748,000 ",Y,9.96,"33,040,000",1/25/2002,-0.019%
TRON,Corner Growth Acquisition Corp. 2 - Class A,Common stocks,8/23/2011,NASDAQ Capital Market,"$184,445,000 ",N,9.97,"18,500,000",1/20/2012,-0.029%
CIIG,"CIIG Capital Partners II, Inc. Class A",Common stocks,10/1/1987,NASDAQ Global Market,"$284,337,500 ",N,9.9,"28,750,000",2/28/1988,-0.029%
BYN,Banyan Acquisition Corporation,Common stocks,6/13/2007,New York Stock Exchange,"$240,292,500 ",N,9.95,"24,150,000",11/10/2007,-0.034%
LBBB,Lakeshore Acquisition II Corp.,Common stocks,8/12/2003,NASDAQ Global Market,"$90,683,680 ",N,9.92,"9,141,500",1/9/2004,-0.043%
EVE,EVe Mobility Acquisition Corp,Common stocks,12/17/2010,New York Stock Exchange,"$259,828,986 ",N,9.94,"26,140,000",5/16/2011,-0.054%
LFAC,LF Capital Acquisition Corp. II Class A,Common stocks,6/29/2018,NASDAQ Global Market,"$258,232,500 ",N,9.98,"25,875,000",11/26/2018,-0.057%
LAX,8i Acquisition 2 Corp.,Common stocks,9/4/2001,NASDAQ Global Market,"$109,073,975 ",N,9.85,"11,073,500",2/1/2002,-0.074%
SCOA,ScION Tech Growth I - Class A,Common stocks,7/6/2001,NASDAQ Capital Market,"$564,650,000 ",N,9.84,"57,500,000",12/3/2001,-0.078%
ACEV,ACE Convergence Acquisition Corp. - Class A,Common stocks,9/17/2020,NASDAQ Capital Market,"$81,940,747 ",Y,9.99,"8,202,277",2/14/2021,-0.079%
HYAC,HAYMAKER ACQUISITION CORP. III Class A,Common stocks,7/23/2019,NASDAQ Capital Market,"$316,550,675 ",Y,9.98,"31,750,000",12/20/2019,-0.082%
VCXA,10X Capital Venture Acquisition Corp. II Class A Ordinary Share,Common stocks,5/25/2007,NASDAQ Capital Market,"$203,555,025 ",Y,9.87,"20,655,000",10/22/2007,-0.089%
DWIN,Delwinds Insurance Acquisition Corp. Class A,Common stocks,12/17/2019,New York Stock Exchange,"$207,056,063 ",Y,9.98,"20,757,500",5/15/2020,-0.098%
PEPL,PepperLime Health Acquisition Corporation Class A Ordinary Share,Common stocks,7/14/2003,NASDAQ Global Market,"$140,320,685 ",N,9.81,"14,188,138",12/11/2003,-0.104%
SWET,Athlon Acquisition Corp. - Class A,Common stocks,10/22/2002,NASDAQ Capital Market,"$271,170,000 ",N,9.8,"27,600,000",3/21/2003,-0.105%
OCA,Omnichannel Acquisition Corp. Class A,Common stocks,1/12/2021,New York Stock Exchange,"$206,293,500 ",Y,9.99,"20,650,000",6/11/2021,-0.105%
ALSA,Alpha Star Acquisition Corporation,Common stocks,7/10/2012,NASDAQ Global Market,"$145,579,500 ",N,9.9,"14,705,000",12/7/2012,-0.105%
GGMC,Glenfarne Merger Corp. - Class A,Common stocks,12/31/1999,NASDAQ Capital Market,"$273,785,040 ",N,9.77,"28,109,347",5/29/2000,-0.106%
ITQ,Itiquira Acquisition Corp. Class A,Common stocks,5/23/2005,NASDAQ Capital Market,"$225,860,000 ",N,9.82,"23,000,000",10/20/2005,-0.109%
KSI,Kadem Sustainable Impact Corporation - Class A,Common stocks,11/13/2000,NASDAQ Capital Market,"$170,275,000 ",N,9.73,"17,500,000",4/12/2001,-0.130%
SLVR,SilverSPAC Inc. Class A,Common stocks,7/24/1995,NASDAQ Capital Market,"$241,750,000 ",N,9.65,"25,000,000",12/21/1995,-0.135%
SMAP,SportsMap Tech Acquisition Corp.,Common stocks,10/16/2014,NASDAQ Global Market,"$148,995,000 ",N,9.9,"15,050,000",3/15/2015,-0.139%
ROSS,Ross Acquisition Corp II Class A,Common stocks,2/17/2006,New York Stock Exchange,"$337,065,000 ",N,9.78,"34,500,000",7/17/2006,-0.140%
SPTK,SportsTek Acquisition Corp. Class A,Common stocks,5/10/2006,NASDAQ Capital Market,"$168,532,500 ",N,9.77,"17,250,000",10/7/2006,-0.149%
MITA,Coliseum Acquisition Corp. Class A Ordinary Share,Common stocks,1/3/2000,NASDAQ Capital Market,"$145,050,000 ",N,9.67,"15,000,000",6/1/2000,-0.153%
PFTA,Portage Fintech Acquisition Corporation Class A Ordinary Share,Common stocks,1/3/2000,NASDAQ Capital Market,"$250,563,035 ",N,9.67,"25,911,379",6/1/2000,-0.153%
DNAD,Social Capital Suvretta Holdings Corp. IV Class A,Common stocks,6/21/2001,NASDAQ Capital Market,"$248,451,600 ",N,9.69,"25,640,000",11/18/2001,-0.154%
SSAA,Science Strategic Acquisition Corp. Alpha - Class A,Common stocks,12/21/2009,NASDAQ Capital Market,"$303,979,500 ",N,9.79,"31,050,000",5/20/2010,-0.176%
ALPA,Alpha Healthcare Acquisition Corp. III Class A,Common stocks,12/6/2002,NASDAQ Capital Market,"$153,989,295 ",N,9.66,"15,907,985",5/5/2003,-0.182%
AFAQ,AF Acquisition Corp.,Common stocks,3/26/2008,NASDAQ Capital Market,"$218,176,000 ",N,9.75,"22,400,000",8/23/2008,-0.184%
APSG,Apollo Strategic Growth Capital Class A,Common stocks,11/23/2020,New York Stock Exchange,"$815,176,380 ",Y,9.98,"81,681,000",4/22/2021,-0.184%
LION,Lionheart III Corp - Class A,Common stocks,6/6/2019,NASDAQ Global Market,"$128,355,000 ",N,9.95,"12,900,000",11/3/2019,-0.195%
CRU,Crucible Acquisition Corporation Class A,Common stocks,11/14/2011,New York Stock Exchange,"$22,050,000 ",N,9.8,"2,250,000",4/12/2012,-0.199%
GMFI,Aetherium Acquisition Corp. Class A,Common stocks,10/10/2017,NASDAQ Global Market,"$118,841,580 ",N,9.91,"12,028,500",3/9/2018,-0.213%
NSTC,Northern Star Investment Corp. III Class A,Common stocks,11/25/2011,New York Stock Exchange,"$390,400,000 ",N,9.78,"40,000,000",4/23/2012,-0.220%
GATE,Marblegate Acquisition Corp. Class A,Common stocks,3/10/2015,NASDAQ Global Market,"$304,463,500 ",N,9.85,"30,910,000",8/7/2015,-0.221%
LCW,Learn CW Investment Corporation Class A,Common stocks,12/16/2013,New York Stock Exchange,"$225,400,000 ",N,9.8,"23,000,000",5/15/2014,-0.251%
CHAA,Catcha Investment Corp. Class A,Common stocks,10/31/2013,New York Stock Exchange,"$293,700,000 ",N,9.79,"30,000,000",3/30/2014,-0.260%
BRAC,Broad Capital Acquisition Corp,Common stocks,10/25/2017,NASDAQ Global Market,"$110,247,598 ",N,9.89,"11,147,381",3/24/2018,-0.264%
CBRG,Chain Bridge I Class A,Common stocks,1/11/2019,NASDAQ Global Market,"$184,754,604 ",N,9.92,"18,624,456",6/10/2019,-0.270%
RCHG,Recharge Acquisition Corp. - Class A,Common stocks,11/20/2020,NASDAQ Capital Market,"$199,698,600 ",N,9.97,"20,040,000",4/19/2021,-0.274%
SCVX,SCVX Corp. Class A,Common stocks,3/16/2020,New York Stock Exchange,$0 ,Y,9.95,"23,000,000",8/13/2020,-0.281%
BIOS,BioPlus Acquisition Corp. Class A,Common stocks,12/17/2019,NASDAQ Global Market,"$234,186,400 ",N,9.94,"23,560,000",5/15/2020,-0.296%
ZT,Zimmer Energy Transition Acquisition Corp. - Class A,Common stocks,12/18/2012,NASDAQ Global Market,"$334,995,000 ",N,9.71,"34,500,000",5/17/2013,-0.327%
GPAC,Global Partner Acquisition Corp II - Class A,Common stocks,10/29/2015,NASDAQ Capital Market,"$294,600,000 ",N,9.8,"30,000,000",3/27/2016,-0.327%
RBAC,RedBall Acquisition Corp. Class A,Common stocks,10/5/2020,New York Stock Exchange,"$573,275,000 ",Y,9.96,"57,500,000",3/4/2021,-0.328%
ALTU,Altitude Acquisition Corp. - Class A,Common stocks,1/29/2021,NASDAQ Capital Market,"$299,100,000 ",N,9.97,"30,000,000",6/28/2021,-0.333%
TGR,Kimbell Tiger Acquisition Corporation Class A,Common stocks,3/28/2022,New York Stock Exchange,"$230,000,000 ",N,10.01,"23,000,000",8/25/2022,-0.367%
MEAC,Mercury Ecommerce Acquisition Corp Class A,Common stocks,9/16/2021,NASDAQ Capital Market,"$180,234,585 ",N,9.99,"18,041,500",2/13/2022,-0.379%
WRAC,Williams Rowland Acquisition Corp.,Common stocks,9/16/2021,New York Stock Exchange,"$287,212,500 ",N,9.99,"28,750,000",2/13/2022,-0.379%
MCACU,"Monterey Capital Acquisition Corp - Units (1 Ord Class A, 1 War & 1 Right)",Units,6/5/2020,NASDAQ Global Market,"$99,400,000 ",N,9.94,"10,000,000",11/2/2020,-0.386%
HPX,HPX Corp. Class A,Common stocks,9/8/2020,New York Stock Exchange,"$251,735,000 ",N,9.95,"25,300,000",2/5/2021,-0.387%
PRPB,CC Neuberger Principal Holdings II Class A,Common stocks,9/21/2020,New York Stock Exchange,"$823,032,000 ",Y,9.95,"82,800,000",2/18/2021,-0.398%
GLBL,Cartesian Growth Corporation Class A,Common stocks,7/25/2017,NASDAQ Capital Market,"$338,790,000 ",N,9.82,"34,500,000",12/22/2017,-0.410%
INTE,Integral Acquisition Corporation 1 Class A,Common stocks,4/24/2018,NASDAQ Global Market,"$112,585,000 ",N,9.84,"11,500,000",9/21/2018,-0.438%
OACB,Oaktree Acquisition Corp. II Class A,Common stocks,11/9/2020,New York Stock Exchange,"$248,500,000 ",Y,9.95,"25,000,000",4/8/2021,-0.446%
ENER,Accretion Acquisition Corp.,Common stocks,8/11/2017,NASDAQ Global Market,"$255,270,900 ",N,9.8,"25,995,000",1/8/2018,-0.461%
IPOD,Social Capital Hedosophia Holdings Corp. IV Class A,Common stocks,11/30/2020,New York Stock Exchange,"$457,700,000 ",N,9.95,"46,000,000",4/29/2021,-0.470%
DUNE,Dune Acquisition Corporation - Class A,Common stocks,2/19/2021,NASDAQ Capital Market,"$171,810,000 ",Y,9.96,"17,250,000",7/19/2021,-0.476%
INKA,KludeIn I Acquisition Corp. - Class A,Common stocks,3/1/2021,NASDAQ Capital Market,"$171,810,000 ",N,9.96,"17,250,000",7/29/2021,-0.492%
AIB,AIB Acquisition Corporation Class A,Common stocks,12/24/2019,NASDAQ Global Market,"$90,050,153 ",N,9.9,"9,095,975",5/22/2020,-0.500%
DISA,Disruptive Acquisition Corporation I Class A,Common stocks,5/23/2017,NASDAQ Capital Market,"$268,675,000 ",N,9.77,"27,500,000",10/20/2017,-0.507%
BIOT,Biotech Acquisition Company - Class A,Common stocks,3/18/2021,NASDAQ Capital Market,"$228,850,000 ",Y,9.96,"23,000,000",8/15/2021,-0.522%
ERES,East Resources Acquisition Company - Class A,Common stocks,9/14/2020,NASDAQ Capital Market,"$342,930,000 ",N,9.93,"34,500,000",2/11/2021,-0.549%
CHEAU,Chenghe Acquisition Co - Units (1 Ord Class A & 1/2 War),Units,4/28/2022,NASDAQ Global Market,"$100,200,000 ",N,10.02,"10,000,000",9/25/2022,-0.557%
TWND,Tailwind Acquisition Corp. Class A,Common stocks,10/23/2020,New York Stock Exchange,"$331,541,974 ",Y,9.93,"33,421,570",3/22/2021,-0.600%
BRPM,B. Riley Principal 150 Merger Corp. Class A,Common stocks,4/25/2019,NASDAQ Capital Market,"$175,822,500 ",Y,9.84,"17,850,000",9/22/2019,-0.603%
GSAQ,Global Synergy Acquisition Corp.,Common stocks,3/1/2021,NASDAQ Capital Market,"$256,550,625 ",N,9.95,"25,875,000",7/29/2021,-0.615%
ETAC,E.Merge Technology Acquisition Corp. - Class A,Common stocks,9/18/2020,NASDAQ Capital Market,"$607,104,000 ",N,9.92,"61,200,000",2/15/2021,-0.634%
GOAC,GO Acquisition Corp. Class A,Common stocks,9/25/2020,New York Stock Exchange,"$570,400,000 ",N,9.92,"57,500,000",2/22/2021,-0.644%
ADRA,Adara Acquisition Corp. Class A,Common stocks,12/17/2019,NYSE American,"$113,275,000 ",N,9.87,"11,500,000",5/15/2020,-0.646%
HSAQ,Health Sciences Acquisitions Corporation 2,Common stocks,8/4/2020,NASDAQ Capital Market,"$202,659,500 ",N,9.91,"20,450,000",1/1/2021,-0.650%
DSAC,Duddell Street Acquisition Corp. - Class A,Common stocks,11/30/2020,NASDAQ Capital Market,"$173,775,000 ",Y,9.93,"17,500,000",4/29/2021,-0.659%
DECAU,Denali Capital Acquisition Corp - Units (1 Ord Class A & 1 War),Units,4/7/2022,NASDAQ Global Market,"$79,919,700 ",N,10.02,"7,980,000",9/4/2022,-0.665%
APAC,StoneBridge Acquisition Corporation Class A,Common stocks,9/7/2021,NASDAQ Capital Market,"$199,200,000 ",N,9.98,"20,000,000",2/4/2022,-0.694%
TCAC,Tuatara Capital Acquisition Corporation Class A,Common stocks,4/5/2021,NASDAQ Capital Market,"$198,600,000 ",Y,9.95,"20,000,000",9/2/2021,-0.698%
POW,Powered Brands - Class A,Common stocks,5/24/2019,NASDAQ Capital Market,"$236,731,467 ",N,9.82,"24,131,648",10/21/2019,-0.701%
ENPC,Executive Network Partnering Corporation Class A,Common stocks,11/6/2020,New York Stock Exchange,"$414,888,250 ",N,9.92,"42,014,000",4/5/2021,-0.710%
LJAQ,LightJump Acquisition Corporation,Common stocks,3/2/2021,NASDAQ Capital Market,"$172,657,800 ",N,9.94,"17,370,000",7/30/2021,-0.742%
GIA,"GigCapital 5, Inc.",Common stocks,11/4/2021,New York Stock Exchange,"$294,563,650 ",N,9.99,"29,545,000",4/3/2022,-0.783%
CRHC,Cohn Robbins Holdings Corp. Class A,Common stocks,10/30/2020,New York Stock Exchange,"$820,548,000 ",Y,9.91,"82,800,000",3/29/2021,-0.786%
TWLV,Twelve Seas Investment Company II Class A,Common stocks,4/12/2019,NASDAQ Capital Market,"$348,090,400 ",N,9.77,"35,665,000",9/9/2019,-0.862%
SPCM,"Sound Point Acquisition Corp I, Ltd - Class A",Common stocks,4/22/2022,NASDAQ Global Market,"$257,973,750 ",N,10.03,"25,875,000",9/19/2022,-0.875%
PIAI,Prime Impact Acquisition I Class A,Common stocks,11/2/2020,New York Stock Exchange,"$284,562,489 ",N,9.9,"28,714,681",4/1/2021,-0.880%
RCLF,Rosecliff Acquisition Corp I - Class A,Common stocks,5/7/2019,NASDAQ Capital Market,"$247,241,720 ",N,9.77,"25,300,000",10/4/2019,-0.885%
AAC,Ares Acquisition Corporation Class A,Common stocks,10/25/2019,New York Stock Exchange,"$982,000,000 ",N,9.81,"100,000,000",3/23/2020,-0.886%
BHAC,Crixus BH3 Acquisition Company Class A,Common stocks,1/21/2020,NASDAQ Global Market,"$226,090,000 ",N,9.83,"23,000,000",6/19/2020,-0.891%
PMVC,PMV Consumer Acquisition Corp. Class A,Common stocks,11/12/2020,New York Stock Exchange,"$173,425,000 ",N,9.9,"17,500,000",4/11/2021,-0.902%
IMPX,AEA-Bridges Impact Corp. Class A,Common stocks,11/23/2020,New York Stock Exchange,"$395,800,000 ",Y,9.9,"40,000,000",4/22/2021,-0.928%
SPK,SPK Acquisition Corp,Common stocks,7/23/2021,NASDAQ Capital Market,"$65,698,899 ",Y,9.96,"6,596,275",12/20/2021,-0.964%
SRSA,Sarissa Capital Acquisition Corp. - Class A,Common stocks,12/11/2020,NASDAQ Capital Market,"$197,300,000 ",N,9.9,"20,000,000",5/10/2021,-0.972%
EQD,Equity Distribution Acquisition Corp. Class A,Common stocks,11/6/2020,New York Stock Exchange,"$409,446,000 ",N,9.89,"41,400,000",4/5/2021,-0.979%
CND,Concord Acquisition Corp. Class A,Common stocks,1/28/2021,New York Stock Exchange,"$280,968,320 ",Y,9.91,"28,352,000",6/27/2021,-1.003%
ASAQ,Atlantic Avenue Acquisition Corp. Class A,Common stocks,10/15/2020,New York Stock Exchange,"$247,000,000 ",N,9.88,"25,000,000",3/14/2021,-1.014%
AVAN,Avanti Acquisition Corp. Class A,Common stocks,11/23/2020,New York Stock Exchange,"$593,400,000 ",N,9.89,"60,000,000",4/22/2021,-1.021%
LCA,"Landcadia Holdings IV, Inc. Class A",Common stocks,6/6/2019,NASDAQ Capital Market,"$487,000,000 ",N,9.74,"50,000,000",11/3/2019,-1.036%
BOAC,Bluescape Opportunities Acquisition Corp. Class A,Common stocks,12/18/2020,New York Stock Exchange,"$600,210,000 ",N,9.89,"60,750,000",5/17/2021,-1.091%
JYAC,Jiya Acquisition Corp. - Class A,Common stocks,11/19/2020,NASDAQ Capital Market,"$107,287,720 ",N,9.88,"10,859,081",4/18/2021,-1.104%
IGAC,IG Acquisition Corp. - Class A,Common stocks,11/23/2020,NASDAQ Capital Market,"$296,400,000 ",N,9.88,"30,000,000",4/22/2021,-1.115%
BLSA,BCLS Acquisition Corp. - Class A,Common stocks,10/22/2020,NASDAQ Capital Market,"$146,692,875 ",N,9.87,"14,862,500",3/21/2021,-1.118%
