Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
TCBPW,TC BioPharm (Holdings) plc Warrants,Operating Companies,$0.00 ,$0.39 ,$1.15 ,"$30,476,002 ","2,615",TCBP,TC BioPharm (Holdings) plc ADRs,Common stocks,0.76,194.87%
CYTHW,"Cyclo Therapeutics, Inc. - Warrant",Operating Companies,$0.00 ,$0.70 ,$2.05 ,"$18,011,421 ",581,CYTH,"Cyclo Therapeutics, Inc.",Common stocks,1.35,192.86%
BFRIW,Biofrontera Inc. Warrants,Operating Companies,$0.00 ,$1.00 ,$2.80 ,"$44,643,395 ","11,187",BFRI,Biofrontera Inc.,Common stocks,1.8,180.00%
AMPGW,"Amplitech Group, Inc. - Warrants",Operating Companies,$0.00 ,$0.70 ,$1.92 ,"$18,685,120 ","3,476",AMPG,AmpliTech Group Inc.,Common stocks,1.22,174.29%
BRMK+,"Broadmark Realty Capital Inc. Warrants, each exercisable for one fourth (1/4th) share of Common Stock at an exercise price of $2.875 per quarter share",Operating Companies,$2.88 ,$0.08 ,$7.14 ,"$974,762,217 ","37,531",BRMK,Broadmark Realty Capital Inc.,Mortgage REITs,4.18,141.22%
GOVXW,"GeoVax Labs, Inc. - Warrants",Operating Companies,$0.00 ,$0.31 ,$0.73 ,"$6,339,351 ","1,279",GOVX,"GeoVax Labs, Inc.",Common stocks,0.42,135.48%
LEXXW,Lexaria Bioscience Corp. - Warrant,Operating Companies,$0.00 ,$0.95 ,$2.15 ,"$11,723,466 ","3,969",LEXX,Lexaria Bioscience Corp.,Common stocks,1.2,126.32%
CRTDW,Creatd Inc. - Warrant,Operating Companies,$0.00 ,$0.35 ,$0.76 ,"$14,337,960 ","3,026",CRTD,Creatd Inc.,Common stocks,0.41,117.14%
TDW+B,Tidewater Inc. Series B Warrants,Operating Companies,$11.50 ,$0.58 ,$26.17 ,"$1,067,524,236 ","9,977",TDW,Tidewater Inc.,Common stocks,14.09,116.64%
BCTXW,BriaCell Therapeutics Corp. - Warrant,Operating Companies,$0.00 ,$2.31 ,$4.87 ,"$71,965,390 ","31,849",BCTX,BriaCell Therapeutics Corp.,Common stocks,2.56,110.82%
TDW+A,Tidewater Inc. Series A Warrants,Operating Companies,$11.50 ,$1.04 ,$26.17 ,"$1,067,524,236 ","8,773",TDW,Tidewater Inc.,Common stocks,13.63,108.69%
ALACW,Alberton Acquisition Corporation - Warrant to purchase 1/2 share of common at $5.75 per half share,Shell Companies,$5.75 ,$0.01 ,$12.02 ,$0 ,"1,267,587",ALAC,Alberton Acquisition Corporation,Common stocks,6.26,108.68%
AUUDW,Auddia Inc. - Warrants,Operating Companies,$0.00 ,$0.45 ,$0.93 ,"$14,016,535 ","3,175",AUUD,Auddia Inc.,Common stocks,0.48,106.67%
TDW+,Tidewater Inc. Warrant,Operating Companies,$11.50 ,$1.35 ,$26.17 ,"$1,067,524,236 ","2,444",TDW,Tidewater Inc.,Common stocks,13.32,103.66%
COMSW,ComSovereign Holding Corp. - Warrants,Operating Companies,$0.00 ,$0.13 ,$0.26 ,"$18,851,548 ","3,432",COMS,COMSovereign Holding Corp.,Common stocks,0.13,100.00%
AGBAW,AGBA Acquisition Limited - Warrant exercisable for 1/2 share at $5.75 per half share,Shell Companies,$5.75 ,$0.05 ,$11.29 ,"$56,693,943 ","5,253",AGBA,AGBA Acquisition Limited,Common stocks,5.49,94.66%
GRCYW,Greencity Acquisition Corporation - Warrants exercisable for 1/2 of a share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.07 ,$10.46 ,"$54,967,000 ","5,589",GRCY,Greencity Acquisition Corporation,Common stocks,4.64,79.73%
DWACW,Digital World Acquisition Corp. Warrants exercisable for one share of Class A common stock at an exercise price of $11.50,Shell Companies,$11.50 ,$13.30 ,$44.09 ,"$1,341,316,543 ","450,178",DWAC,Digital World Acquisition Corp. Class A,Common stocks,19.29,77.78%
NLSPW,NLS Pharmaceutics Ltd. - Warrant,Operating Companies,$0.00 ,$0.35 ,$0.62 ,"$9,411,188 ","8,044",NLSP,NLS Pharmaceutics Ltd.,Common stocks,0.27,77.14%
ADOCW,Edoc Acquisition Corp. - Warrant each exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.05 ,$10.20 ,"$32,917,868 ","30,612",ADOC,Edoc Acquisition Corp. - Class A,Common stocks,4.4,75.86%
VENAW,Venus Acquisition Corporation Warrant exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.07 ,$10.22 ,"$61,891,500 ","6,251",VENA,Venus Acquisition Corporation,Common stocks,4.4,75.60%
MACUW,Mallard Acquisition Corp. - Warrant each exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.00 ,$10.09 ,$0 ,"456,735",MACU,Mallard Acquisition Corp.,Common stocks,4.34,75.48%
VHAQ+,Viveon Health Acquisition Corp. Warrants to purchase one-half of a share of common stock at a price of $5.75 per share,Shell Companies,$5.75 ,$0.06 ,$10.19 ,"$102,754,706 ","81,032",VHAQ,Viveon Health Acquisition Corp.,Common stocks,4.38,75.39%
GBRGW,Goldenbridge Acquisition Limited - Warrant to purchase 1/2 of a share at $5.75,Shell Companies,$5.75 ,$0.04 ,$10.11 ,"$76,419,125 ","15,650",GBRG,Goldenbridge Acquisition Limited,Common stocks,4.32,74.61%
ESSCW,East Stone Acquisition Corporation - Warrant exercisable for 1/2 of a share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.21 ,$10.40 ,"$74,371,409 ","41,927",ESSC,East Stone Acquisition Corporation,Common stocks,4.44,74.50%
GPCOW,Golden Path Acquisition Corporation Warrant exercisable for 1/2 share at $5.75 per half share,Shell Companies,$5.75 ,$0.07 ,$10.06 ,"$75,176,640 ","18,737",GPCO,Golden Path Acquisition Corporation,Common stocks,4.24,72.85%
BHSEW,Bull Horn Holdings Corp. - Warrant each exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.06 ,$10.04 ,"$94,125,000 ","34,387",BHSE,Bull Horn Holdings Corp.,Common stocks,4.23,72.81%
NOVVW,Nova Vision Acquisition Corp. Warrant each exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.06 ,$10.02 ,"$75,330,360 ","8,625",NOVV,Nova Vision Acquisition Corp.,Common stocks,4.21,72.46%
PPHPW,PHP Ventures Acquisition Corp. Warrant exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.09 ,$10.00 ,"$57,615,000 ","4,278",PPHP,PHP Ventures Acquisition Corp. Class A,Common stocks,4.16,71.23%
VTAQW,Ventoux CCM Acquisition Corp. - Warrant exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.20 ,$10.15 ,"$218,891,719 ","15,627",VTAQ,Ventoux CCM Acquisition Corp.,Common stocks,4.2,70.59%
GACQW,Global Consumer Acquisition Corp. Warrant exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.16 ,$10.03 ,"$233,522,091 ","17,518",GACQ,Global Consumer Acquisition Corp.,Common stocks,4.12,69.71%
BEEMW,Beam Global - Warrant,Operating Companies,$0.00 ,$8.40 ,$14.25 ,"$144,726,550 ",956,BEEM,Beam Global,Common stocks,5.85,69.64%
WINVW,WinVest Acquisition Corp. Warrant each exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.13 ,$9.91 ,"$142,456,250 ","7,966",WINV,WinVest Acquisition Corp.,Common stocks,4.03,68.54%
NOACW,Natural Order Acquisition Corp. - Warrant exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.10 ,$9.84 ,"$282,612,500 ","27,216",NOAC,Natural Order Acquisition Corp.,Common stocks,3.99,68.21%
BMAQW,Blockchain Moon Acquisition Corp. - Warrant exercisable for 1/2 share at $5.75 per 1/2 share,Shell Companies,$5.75 ,$0.13 ,$9.87 ,"$145,977,300 ","22,118",BMAQ,Blockchain Moon Acquisition Corp.,Common stocks,3.99,67.86%
QFTA+,"Quantum FinTech Acquisition Corporation Warrants, each warrant exercisable for one-half of one share of Common Stock at an exercise price of $5.75",Shell Companies,$5.75 ,$0.22 ,$9.85 ,"$172,375,000 ","55,972",QFTA,Quantum FinTech Acquisition Corporation,Common stocks,3.88,64.99%
FRGE+,"Forge Global Holdings, Inc. Warrants, each whole warrant exercisable for one share of Common Stock at an exercise price of $11.50",Operating Companies,$11.50 ,$1.72 ,$20.87 ,"$885,132,000 ","327,898",FRGE,"Forge Global Holdings, Inc.",Common stocks,7.65,57.87%
DBGIW,"Digital Brands Group, Inc. - Warrant",Operating Companies,$0.00 ,$0.13 ,$0.20 ,"$3,149,759 ","3,717",DBGI,"Digital Brands Group, Inc.",Common stocks,0.07,53.85%
PAVMZ,PAVmed Inc. Series Z Warrant,Operating Companies,$0.00 ,$0.67 ,$1.00 ,"$87,082,030 ","9,113",PAVM,Pavmed Inc.,Common stocks,0.33,49.25%
CHKEL,Chesapeake Energy Corporation - Class C Warrants,Operating Companies,$0.00 ,$59.02 ,$87.12 ,"$11,280,505,364 ","41,179",CHK,Chesapeake Energy Corporation,Common stocks,28.1,47.61%
BNGOW,"Bionano Genomics, Inc. - Warrant",Operating Companies,$0.86 ,$0.31 ,$1.68 ,"$454,824,361 ","7,651",BNGO,Bionano Genomics Inc,Common stocks,0.51,43.59%
CHKEZ,Chesapeake Energy Corporation - Class B Warrants,Operating Companies,$0.00 ,$63.02 ,$87.12 ,"$11,280,505,364 ","70,977",CHK,Chesapeake Energy Corporation,Common stocks,24.1,38.24%
CVE+,Cenovus Energy Inc Warrants (each warrant entitles the holder to purchase one common share at an exercise price of C$6.54 per share),Operating Companies,$0.00 ,$15.97 ,$21.12 ,"$40,777,718,256 ","8,740",CVE,Cenovus Energy Inc,Common stocks,5.15,32.25%
JUPWW,"Jupiter Wellness, Inc. - Warrant",Operating Companies,$0.00 ,$0.67 ,$0.88 ,"$18,883,881 ","1,941",JUPW,"Jupiter Wellness, Inc.",Common stocks,0.21,31.34%
CHKEW,Chesapeake Energy Corporation - Class A Warrants,Operating Companies,$0.00 ,$67.41 ,$87.12 ,"$11,280,505,364 ","30,124",CHK,Chesapeake Energy Corporation,Common stocks,19.71,29.24%
IMAQW,International Media Acquisition Corp. Warrant exercisable for 3/4 share at $8.625 per 3/4 share,Shell Companies,$8.63 ,$0.05 ,$9.92 ,"$293,577,998 ","57,809",IMAQ,International Media Acquisition Corp. Class A,Common stocks,1.24,14.29%
HHGCW,HHG Capital Corporation Warrant exercisable for 3/4 share at $8.625 per 3/4 share,Shell Companies,$8.63 ,$0.14 ,$9.97 ,"$74,545,690 ","2,191",HHGC,HHG Capital Corporation,Common stocks,1.2,13.68%
LVACW,LAVA Medtech Acquisition Corp. Warrant exercisable for 3/4 share at $8.625 per 3/4 share,Shell Companies,$8.63 ,$0.20 ,$10.01 ,"$115,115,000 ","14,767",LVAC,LAVA Medtech Acquisition Corp. Class A,Common stocks,1.18,13.36%
RNERW,Mount Rainier Acquisition Corp. Warrant exercisable for 3/4 share at $8.625 per 3/4 share,Shell Companies,$8.63 ,$0.20 ,$9.99 ,"$221,587,000 ","34,302",RNER,Mount Rainier Acquisition Corp.,Common stocks,1.16,13.14%
AVHIW,Achari Ventures Holdings Corp. I Warrant exercisable for 3/4 share at $8.625 per 3/4 share,Shell Companies,$8.63 ,$0.22 ,$9.96 ,"$124,500,000 ","1,328",AVHI,Achari Ventures Holdings Corp. I,Common stocks,1.11,12.54%
ARIZW,Arisz Acquisition Corp. Warrant exercisable for 3/4 share at $8.625 per 3/4 share,Shell Companies,$8.63 ,$0.12 ,$9.83 ,"$87,545,161 ","3,484",ARIZ,Arisz Acquisition Corp.,Common stocks,1.08,12.34%
NVVEW,Nuvve Holding Corp. - Warrant exercisable for 1/2 of a share at $5.75 per share expiring 3/19/26,Operating Companies,$5.75 ,$0.71 ,$7.04 ,"$127,472,258 ","49,225",NVVE,Nuvve Holding Corp.,Common stocks,0.58,8.98%
FREEW,"Whole Earth Brands, Inc. - Warrant exercisable for one-half share at $5.75 per share",Operating Companies,$5.75 ,$0.33 ,$6.51 ,"$263,209,596 ","25,651",FREE,"Whole Earth Brands, Inc. - Class A",Common stocks,0.43,7.07%
HCCCW,Healthcare Capital Corp. - Warrant exercisable for one share at $11.50 per share,Shell Companies,$11.50 ,$0.49 ,$12.74 ,"$350,350,000 ","1,023,467",HCCC,Healthcare Capital Corp. - Class A,Common stocks,0.75,6.26%
OXY+,Occidental Petroleum Corporation Warrants,Operating Companies,$22.00 ,$41.99 ,$63.96 ,"$60,261,380,143 ","637,311",OXY,Occidental Petroleum Corp,Common stocks,-0.03,-0.05%
BLNKW,Blink Charging Co. Warrant,Operating Companies,$4.25 ,$11.58 ,$15.69 ,"$668,636,750 ","1,969",BLNK,Blink Charging Co.,Common stocks,-0.14,-0.88%
HPKEW,"HighPeak Energy, Inc. - Warrant",Operating Companies,$11.50 ,$15.87 ,$25.72 ,"$2,651,107,128 ","11,699",HPK,"HighPeak Energy, Inc.",Common stocks,-1.65,-6.03%
XBIOW,"Xenetic Biosciences, Inc. - Warrants",Operating Companies,$0.00 ,$0.95 ,$0.76 ,"$11,023,779 ",101,XBIO,"Xenetic Biosciences, Inc.",Common stocks,-0.19,-20.00%
HTZWW,"Hertz Global Holdings, Inc - Warrant",Operating Companies,$11.50 ,$12.13 ,$18.49 ,"$7,611,696,598 ","502,707",HTZ,"Hertz Global Holdings, Inc",Common stocks,-5.14,-21.75%
SBFMW,Sunshine Biopharma Inc. warrant,Operating Companies,$0.00 ,$2.40 ,$1.82 ,"$31,176,697 ","6,966",SBFM,Sunshine Biopharma Inc.,Common stocks,-0.58,-24.17%
FATBW,FAT Brands Inc. - Warrant,Operating Companies,$5.00 ,$3.41 ,$6.00 ,"$106,672,069 ",200,FAT,Fat Brands Inc. Class A,Common stocks,-2.41,-28.66%
NTRBW,Nutriband Inc. Warrant,Operating Companies,$0.00 ,$5.99 ,$4.24 ,"$30,971,857 ",480,NTRB,Nutriband Inc.,Common stocks,-1.75,-29.22%
