Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
TGAAW,Target Global Acquisition I Corp. Warrant,Shell Companies,$0.00 ,$0.30 ,$9.87 ,"$212,102,924 ","44,252",TGAA,Target Global Acquisition I Corp. Class A Ordinary Share,Common stocks,9.57,3190.00%
LSEAW,Landsea Homes Corporation - Warrant,Operating Companies,$0.00 ,$0.26 ,$7.32 ,"$335,853,841 ","30,926",LSEA,Landsea Homes Corporation,Common stocks,7.06,2715.38%
PWUPW,PowerUp Acquisition Corp. - Warrant,Shell Companies,$0.00 ,$0.36 ,$10.00 ,"$286,062,500 ","76,425",PWUP,PowerUp Acquisition Corp. - Class A,Common stocks,9.64,2677.78%
LGL+,"LGL Group, Inc. (The) Warrants",Operating Companies,$0.00 ,$0.48 ,$11.02 ,"$59,018,775 ","1,150",LGL,Lgl Group Inc,Common stocks,10.54,2195.83%
IRS+,IRSA Inversiones Y Representaciones S.A. Warrants to purchase Common Shares,Operating Companies,$0.00 ,$0.20 ,$4.37 ,"$285,011,884 ","28,682",IRS,IRSA Inversiones y Representaciones ADRs,ADRs,4.17,2085.00%
NVNOW,enVVeno Medical Corporation - Warrants,Operating Companies,$0.00 ,$0.20 ,$4.35 ,"$39,962,767 ","2,439",NVNO,enVVeno Medical Corporation,Common stocks,4.15,2075.00%
ENTXW,Entera Bio Ltd. Warrant,Operating Companies,$0.00 ,$0.12 ,$2.53 ,"$68,554,498 ","4,004",ENTX,Entera Bio Ltd,Common stocks,2.41,2008.33%
UTAAW,UTA Acquisition Corporation - Warrants,Shell Companies,$0.00 ,$0.54 ,$9.95 ,"$228,620,000 ","107,227",UTAA,UTA Acquisition Corporation - Class A,Common stocks,9.41,1742.59%
BROGW,Twelve Seas Investment Company - Warrant,Operating Companies,$0.00 ,$0.42 ,$7.39 ,"$809,854,241 ","19,244",BROG,Brooge Energy Limited,Common stocks,6.97,1659.52%
SQFTW,"Presidio Property Trust, Inc. Series A Common Stock Purchase Warrants",Operating Companies,$0.00 ,$0.18 ,$3.12 ,"$38,329,296 ","13,666",SQFT,"Presidio Property Trust, Inc.",REITs,2.94,1633.33%
DRTSW,Alpha Tau Medical Ltd. - Warrant,Operating Companies,$0.00 ,$0.38 ,$5.25 ,"$437,935,458 ","67,636",DRTS,Alpha Tau Medical Ltd. - Class A,Common stocks,4.87,1281.58%
HLBZW,"Helbiz, Inc. - Warrant",Operating Companies,$0.00 ,$0.09 ,$1.21 ,"$36,507,450 ","20,832",HLBZ,"Helbiz, Inc. - Class A",Common stocks,1.12,1244.44%
PROCW,"Procaps Group, S.A. Warrants",Operating Companies,$0.00 ,$0.59 ,$7.87 ,"$945,466,654 ","87,886",PROC,"Procaps Group, S.A.",Common stocks,7.28,1233.90%
